tobs,date
76.0,2017-03-25
77.0,2017-03-26
76.0,2017-03-27
74.0,2017-03-28
68.0,2017-03-29
73.0,2017-03-30
71.0,2017-03-31
74.0,2017-04-01
75.0,2017-04-02
70.0,2017-04-03
67.0,2017-04-04
71.0,2017-04-05
67.0,2017-04-06
74.0,2017-04-07
77.0,2017-04-08
78.0,2017-04-09
67.0,2017-04-10
70.0,2017-04-11
69.0,2017-04-12
69.0,2017-04-13
74.0,2017-04-14
78.0,2017-04-15
71.0,2017-04-16
67.0,2017-04-17
68.0,2017-04-18
67.0,2017-04-19
76.0,2017-04-20
69.0,2017-04-21
72.0,2017-04-22
76.0,2017-04-23
68.0,2017-04-24
72.0,2017-04-25
74.0,2017-04-26
70.0,2017-04-27
67.0,2017-04-28
72.0,2017-04-29
60.0,2017-04-30
65.0,2017-05-01
75.0,2017-05-02
70.0,2017-05-03
75.0,2017-05-04
70.0,2017-05-05
79.0,2017-05-06
75.0,2017-05-07
70.0,2017-05-08
67.0,2017-05-09
74.0,2017-05-10
70.0,2017-05-11
75.0,2017-05-12
76.0,2017-05-13
77.0,2017-05-14
74.0,2017-05-15
74.0,2017-05-16
74.0,2017-05-17
69.0,2017-05-18
68.0,2017-05-19
76.0,2017-05-20
74.0,2017-05-21
71.0,2017-05-22
71.0,2017-05-23
74.0,2017-05-24
74.0,2017-05-25
74.0,2017-05-26
74.0,2017-05-27
80.0,2017-05-28
74.0,2017-05-29
72.0,2017-05-30
75.0,2017-05-31
80.0,2017-06-01
76.0,2017-06-02
76.0,2017-06-03
77.0,2017-06-04
75.0,2017-06-05
75.0,2017-06-06
75.0,2017-06-07
75.0,2017-06-08
72.0,2017-06-09
74.0,2017-06-10
74.0,2017-06-11
74.0,2017-06-12
76.0,2017-06-13
74.0,2017-06-14
75.0,2017-06-15
73.0,2017-06-16
79.0,2017-06-17
75.0,2017-06-18
72.0,2017-06-19
72.0,2017-06-20
74.0,2017-06-21
72.0,2017-06-22
72.0,2017-06-23
77.0,2017-06-24
71.0,2017-06-25
73.0,2017-06-26
76.0,2017-06-27
77.0,2017-06-28
76.0,2017-06-29
76.0,2017-06-30
79.0,2017-07-01
81.0,2017-07-02
76.0,2017-07-03
78.0,2017-07-04
77.0,2017-07-05
74.0,2017-07-06
75.0,2017-07-07
78.0,2017-07-08
78.0,2017-07-09
69.0,2017-07-10
72.0,2017-07-11
74.0,2017-07-12
74.0,2017-07-13
76.0,2017-07-14
80.0,2017-07-15
80.0,2017-07-16
76.0,2017-07-17
76.0,2017-07-18
76.0,2017-07-19
77.0,2017-07-20
77.0,2017-07-21
77.0,2017-07-22
82.0,2017-07-23
75.0,2017-07-24
77.0,2017-07-25
75.0,2017-07-26
76.0,2017-07-27
81.0,2017-07-28
82.0,2017-07-29
81.0,2017-07-30
76.0,2017-07-31
77.0,2017-08-04
82.0,2017-08-05
83.0,2017-08-06
77.0,2017-08-13
77.0,2017-08-14
77.0,2017-08-15
76.0,2017-08-16
76.0,2017-08-17
79.0,2017-08-18
